user_id,location,language,account_created,follower_count
user_guglt5jp,"Berlin, Germany",ja,2023-10-23 00:00:00,38963
user_b1p3wz81,"Munich, Germany",zh,2023-05-06 00:00:00,24644
user_jm2grmis,"Dubai, UAE",en,2023-01-03 00:00:00,45842
user_ykoqww5l,"Paris, France",fr,2023-10-11 00:00:00,665
user_3zzvv8vp,"Los Angeles, USA",ru,2023-05-23 00:00:00,42908
user_s4nmuyvf,"Mumbai, India",zh,2023-03-17 00:00:00,43412
user_9vo7he3z,"Rio de Janeiro, Brazil",en,2023-12-01 00:00:00,36257
user_guruu55k,"Mexico City, Mexico",en,2023-03-30 00:00:00,11260
user_8nvzxsuj,"Vancouver, Canada",es,2023-12-03 00:00:00,36383
user_rgmvy3e1,"London, UK",ja,2023-12-21 00:00:00,13458
user_j0akync6,"Houston, USA",en,2023-10-23 00:00:00,28544
user_dxhhp9fo,"Manchester, UK",fr,2023-03-03 00:00:00,3852
user_eci1w7hz,"Seoul, South Korea",ru,2023-02-04 00:00:00,43692
user_cefi5hpb,"Johannesburg, South Africa",es,2023-07-26 00:00:00,15895
user_wzdzaxo6,"Dubai, UAE",de,2023-03-27 00:00:00,13486
user_urkhf34q,"Manchester, UK",ar,2023-02-18 00:00:00,24177
user_4y5xrp4d,"São Paulo, Brazil",ar,2023-07-02 00:00:00,18904
user_5805b7s5,"Osaka, Japan",de,2023-07-29 00:00:00,29193
user_ju8hqhh7,"São Paulo, Brazil",pt,2023-08-10 00:00:00,11133
user_0xtn0q1z,"Mexico City, Mexico",zh,2023-02-13 00:00:00,4956
user_vdzbq60d,"São Paulo, Brazil",de,2023-05-21 00:00:00,25387
user_3nei5tio,"Rome, Italy",ja,2023-06-06 00:00:00,27945
user_8hs083wf,"Mexico City, Mexico",ja,2023-11-26 00:00:00,36208
user_g62nc9bm,"Osaka, Japan",pt,2023-05-18 00:00:00,29261
user_u6wmhba1,"Rio de Janeiro, Brazil",fr,2023-05-07 00:00:00,26788
user_rawskkbp,"Mexico City, Mexico",ja,2023-04-03 00:00:00,19554
user_6wra58f7,"Johannesburg, South Africa",en,2023-12-29 00:00:00,4953
user_20v16n7o,"Osaka, Japan",es,2023-06-23 00:00:00,35772
user_8hwimj2y,"Barcelona, Spain",hi,2023-07-09 00:00:00,34130
user_34h6otv1,"Mumbai, India",hi,2023-09-01 00:00:00,825
user_rd4m435g,"Mumbai, India",en,2023-05-09 00:00:00,41448
user_baflpt2a,"Shanghai, China",zh,2023-05-14 00:00:00,2528
user_3rnkw0w0,"London, UK",en,2023-08-30 00:00:00,16930
user_wdvt8sn8,"Lagos, Nigeria",hi,2023-10-18 00:00:00,44991
user_6ftbnlhg,"Seoul, South Korea",ru,2023-04-22 00:00:00,42376
user_p9zkwsde,"Tokyo, Japan",zh,2023-01-28 00:00:00,22530
user_jqhen223,"Rome, Italy",pt,2023-08-25 00:00:00,1386
user_qjq1xtnb,"Vancouver, Canada",ar,2023-06-20 00:00:00,9994
user_giqj8qez,"New York, USA",pt,2023-03-08 00:00:00,30904
user_yhkk65jx,"Dubai, UAE",zh,2023-03-04 00:00:00,19947
user_n7owi8hd,"Beijing, China",fr,2023-12-29 00:00:00,40734
user_q3dvjt5a,"Barcelona, Spain",en,2023-01-02 00:00:00,25339
user_uwu8hunq,"Melbourne, Australia",es,2023-04-12 00:00:00,47367
user_weam2ohn,"Lyon, France",en,2023-04-14 00:00:00,12261
user_v4objqex,"Madrid, Spain",hi,2023-11-15 00:00:00,16772
user_lgnt3fch,"Johannesburg, South Africa",fr,2023-03-29 00:00:00,46078
user_d1drdipk,"Berlin, Germany",fr,2023-03-14 00:00:00,12883
user_ll36h5wt,"Tokyo, Japan",ru,2023-07-02 00:00:00,29890
user_abawq3v4,"Barcelona, Spain",fr,2023-11-16 00:00:00,27400
user_668nidxi,"São Paulo, Brazil",pt,2023-07-24 00:00:00,17277
user_tbi3l8f9,"Milan, Italy",pt,2023-03-11 00:00:00,5446
user_jxoe2fqh,"Shanghai, China",de,2023-06-17 00:00:00,3525
user_sd7unhlc,"Tokyo, Japan",hi,2023-06-27 00:00:00,7258
user_y1nqrc5b,"Beijing, China",ru,2023-09-23 00:00:00,27900
user_q6b92sgq,"Munich, Germany",hi,2023-07-21 00:00:00,38254
user_sh3by87q,"Manchester, UK",hi,2023-10-14 00:00:00,30340
user_udakufz1,"Houston, USA",pt,2023-03-04 00:00:00,30349
user_siuvpkza,"Chicago, USA",en,2023-09-05 00:00:00,49905
user_a2t91ioa,"São Paulo, Brazil",ar,2023-03-23 00:00:00,5217
user_kxujr0gz,"Los Angeles, USA",pt,2023-02-04 00:00:00,34963
user_ggnjpujh,Singapore,hi,2023-10-22 00:00:00,35532
user_mkqbrm43,"Houston, USA",de,2023-01-14 00:00:00,16581
user_ysboqq66,Singapore,pt,2023-01-07 00:00:00,22756
user_cyqqg8x5,"Mexico City, Mexico",zh,2023-12-04 00:00:00,44679
user_icpx666o,"Chicago, USA",es,2023-02-28 00:00:00,36087
user_v7kjzia8,"Shanghai, China",de,2023-08-09 00:00:00,36584
user_m6q38p8n,"Rio de Janeiro, Brazil",ru,2023-08-20 00:00:00,19975
user_i16blt5c,"Lagos, Nigeria",fr,2023-01-12 00:00:00,15494
user_c48hfo1e,"Tokyo, Japan",ja,2023-04-02 00:00:00,30991
user_gbfw65um,"Dubai, UAE",ja,2023-01-21 00:00:00,3210
user_tndo3hfx,"Berlin, Germany",de,2023-05-31 00:00:00,43803
user_j7hru6kk,"Lyon, France",ar,2023-02-25 00:00:00,26012
user_85468fb8,"Delhi, India",pt,2023-09-22 00:00:00,16049
user_zzq2044c,"Delhi, India",ar,2023-02-09 00:00:00,34915
